Team,mu,sigma,Score,Rank
254,43.74911708671432,1.3215016978223013,39.78461199324742,1.0
2056,42.768396829113584,1.2406889309375453,39.04633003630095,2.0
1678,40.201097053823105,1.243773109560865,36.46977772514051,3.0
118,40.1950579814854,1.2434387333056147,36.464741781568556,4.0
1114,39.18179605213578,1.2268206368746226,35.50133414151191,5.0
148,38.6366187311019,1.2351878374492515,34.931055218754146,6.0
2481,38.3356569086758,1.175625090437126,34.808781637364426,7.0
330,38.38244308866489,1.2095384811883207,34.75382764509993,8.0
195,37.832677246697514,1.1580305138171991,34.358585705245915,9.0
987,37.60982097853066,1.1848452852291342,34.05528512284325,10.0
1717,37.17774681737981,1.2042953841681459,33.564860664875376,11.0
973,36.43045439890709,1.1564219475296795,32.96118855631805,12.0
179,36.30478268335784,1.1680469289844326,32.80064189640454,13.0
5172,36.55617405547281,1.300945656286488,32.65333708661335,14.0
1986,36.071293191552975,1.1712811417024511,32.55744976644562,15.0
2767,35.94202877598001,1.1469137144702555,32.501287632569245,16.0
3310,35.846048441321116,1.205274805509119,32.230224024793756,17.0
225,35.579234197112115,1.1298987174273272,32.18953804483013,18.0
1519,35.50711911398875,1.1486248780861414,32.06124447973033,19.0
971,35.58570454573124,1.1981951460752678,31.991119107505437,20.0
67,35.38911427476842,1.1399192471808781,31.969356533225785,21.0
1241,35.35421333197676,1.1734269309772474,31.833932539045016,22.0
3683,35.244298902674295,1.1839510173725738,31.692445850556574,23.0
33,34.92742792700067,1.1573254858275188,31.455451469518117,24.0
525,34.92917915404493,1.163084628449458,31.439925268696555,25.0
2046,34.785712029394396,1.122970141927516,31.416801603611848,26.0
5687,34.86829359053121,1.164137568987217,31.375880883569558,27.0
359,34.933282096088384,1.2082519271858747,31.30852631453076,28.0
3538,34.56299911143609,1.119046773787909,31.205858790072366,29.0
230,34.54094361334088,1.1233600764144889,31.170863384097412,30.0
180,34.64865427967727,1.1740394853164429,31.126535823727938,31.0
1619,34.58324438552233,1.1795026206887165,31.04473652345618,32.0
2052,34.48338059274576,1.1496894756910252,31.034312165672684,33.0
1323,34.49116880431663,1.1647141135695245,30.997026463608055,34.0
16,34.46401914252212,1.1670229203000446,30.962950381621987,35.0
217,34.19496843816957,1.104520898740173,30.88140574194905,36.0
4488,34.247938908990676,1.1233738390312256,30.877817391897,37.0
2122,34.195933997096866,1.1746504509549636,30.671982644231974,38.0
133,33.98589943667486,1.1153826980839046,30.63975134242315,39.0
5406,34.16020525167202,1.1736125341423997,30.639367649244818,40.0
176,33.88719442138675,1.1121921393578797,30.55061800331311,41.0
1918,33.79064965283169,1.1170156277852734,30.43960276947587,42.0
610,33.852095157836615,1.1481138954934549,30.40775347135625,43.0
2910,33.78609164561768,1.127702092888824,30.40298536695121,44.0
494,33.750582326026326,1.120479054811591,30.389145161591554,45.0
2168,33.68831178655758,1.1130286971973413,30.349225694965554,46.0
2337,33.68946957869516,1.11400278553099,30.34746122210219,47.0
2970,38.033824545428985,2.5621525501581766,30.347366894954455,48.0
1730,33.67755340724084,1.1544382172365515,30.214238755531188,49.0
1574,33.56873740345534,1.159605951761265,30.089919548171544,50.0
1690,33.415670404580965,1.1297888918364327,30.026303729071667,51.0
39,34.60964822500986,1.5287152418758947,30.02350249938218,52.0
111,33.378128057265364,1.1279424761204975,29.994300628903872,53.0
4613,33.81161603100407,1.2832582462021087,29.961841292397743,54.0
2590,33.269961800549694,1.1174587349298408,29.917585595760173,55.0
4451,33.45246494520785,1.1913887374233338,29.87829873293785,56.0
